연번,시군명,시설명,주소,연락처,시설인원,운영주체,시설설치일
1,창원시,BM이화요양원,경상남도 창원시 의창구 북면 천주로  1092 2층 (북면),055-255-2003,47,의료법인,2019-12-18
2,창원시,다솜창원노인복지센터,경상남도 창원시 의창구 동읍 자여로  89 (동읍),055-251-0553,26,사회복지법인,2010-03-01
3,창원시,동진노인복지센터,경상남도 창원시 의창구 동읍 동읍로  517-14 (동읍),055-299-2233,42,사회복지법인,2008-05-27
4,창원시,믿음의집,경상남도 창원시 의창구 북면 신촌본포로333번길  168-11 (북면),055-299-0642,25,개인,2017-08-01
5,창원시,성미카엘 노인 요양센터,경상남도 창원시 의창구 사림로45번길  4-15 (사림동),055-211-0333,103,개인,2016-02-02
6,창원시,소답노인요양센터,경상남도 창원시 의창구 의안로70번길  27-2 (소답동),055-294-8512,37,개인,2011-12-26
7,창원시,수산자비선원 부설 자비마을,"경상남도 창원시 의창구 하남천동길44번길  14 (도계동, 자비마을)",055-237-4564,5,개인,2008-05-29
8,창원시,아름다운요양원,경상남도 창원시 의창구 대산면 대산북로  602 (대산면),055-293-3452,16,개인,2008-06-09
9,창원시,안정재활요양원,경상남도 창원시 의창구 대산면 제동길  59-10 (대산면),055-292-9300,75,사회복지법인,2017-06-30
10,창원시,영호노인복지센터,경상남도 창원시 의창구 대산면 진산대로  430-26 (대산면),055-291-4664,29,개인,2014-01-01
11,창원시,영호노인전문요양원,경상남도 창원시 의창구 대산면 진산대로  430-25 (대산면),055-716-1190,49,개인,2023-03-13
12,창원시,온새미로요양원,경상남도 창원시 의창구 명서로120번길  11 (명서동),055-238-1151,8,개인,2010-08-24
13,창원시,우리요양원,경상남도 창원시 의창구 의안로2번길  5 3층 (소답동),055-298-9920,45,개인,2023-02-13
14,창원시,주남다비다요양센터,경상남도 창원시 의창구 동읍 주남로  177-38 (동읍),055-256-0690,4,개인,2019-08-01
15,창원시,주남요양센터,경상남도 창원시 의창구 동읍 동읍로  1016 (동읍),055-298-9974,23,사회복지법인,2008-05-19
16,창원시,창원성심노인전문요양원,경상남도 창원시 의창구 북면 단내로  499-42 (북면),055-299-6911,54,사회복지법인,2008-05-29
17,창원시,창원성심요양원,경상남도 창원시 의창구 북면 단내로  501 (북면),055-299-6723,79,사회복지법인,2008-05-29
18,창원시,큰사랑요양원,경상남도 창원시 의창구 동읍 의창대로915번길  6-2 (동읍),055-295-8383,8,개인,2023-03-13
19,창원시,해찬솔요양원,경상남도 창원시 의창구 동읍 봉강가술로  95-17 (동읍),055-293-9313,49,개인,2023-01-13
20,창원시,그린힐치매전문요양센터,경상남도 창원시 의창구 봉강가술로 394번길 24,055-299-8955,9,주식회사,2009-04-16
21,창원시,창원소규모요양시설(가형),경상남도 창원시 성산구 외동반림로126번길  56 (중앙동),055-281-8733,11,사단법인,2008-06-26
22,창원시,EAC창원노인요양센터,경상남도 창원시 마산합포구 가포로  652 B동2층 (덕동동),055-230-7723,43,의료법인,2023-12-27
23,창원시,경남애노인전문요양원,경상남도 창원시 마산합포구 월영동16길  53 (해운동),055-224-8899,56,개인,2018-12-13
24,창원시,기쁨의집,경상남도 창원시 마산합포구 진북면 의림로  345-27 (진북면),055-242-7585,47,사회복지법인,2009-12-07
25,창원시,늘돌봄요양센터,경상남도 창원시 마산합포구 완월서1길  11 (완월동),055-261-2004,8,개인,2011-08-03
26,창원시,마산성로원,경상남도 창원시 마산합포구 무학로  515 (교방동),055-246-1975,71,사회복지법인,1951-08-12
27,창원시,마산시니어카운티,경상남도 창원시 마산합포구 구산면 석곡로  184-78 (구산면),055-221-0704,42,사회복지법인,2007-06-14
28,창원시,마산시니어카운티2,경상남도 창원시 마산합포구 구산면 석곡로  184-78 (구산면),055-221-0705,55,사회복지법인,2012-03-16
29,창원시,마산원광보은의 집,경상남도 창원시 마산합포구 노산남7길  16 (상남동),055-248-2075,65,사회복지법인,2007-03-15
